,Model_ID,Dataset,TOD,DOW,Lambda,Max_OnBoardTime_minute,Actual_Mean_OnBoardTime_minute,Actual_Min_OnBoardTime_minute,Actual_Max_OnBoardTime_minute,Median_Predicted_speed_mph,Over_Predicted_Speed_count,Under_Predicted_Speed_count,Sparsity,Avg_Count_Redunt,RMSE,Pearson_r,R_Squared,Min_Diff_sec,Max_Diff_sec,Mean_Diff_sec,Min_Abs_Diff_sec,Max_Abs_Diff_sec,Mean_Abs_Diff_sec,Number of Traces,Avg_Trace_length_m
15,4.0,Validation,ev,wed,231608.5343262491,10.0,4.741666666666666,1.4666666666666666,8.316666666666666,11.871400818125474,0.0,0.0,Sparse,1.5988700564971752,108.13910373019013,0.891763151537089,0.7952415184393611,-346.93970226374404,224.57653625527678,-21.478840112573053,346.93970226374404,346.93970226374404,85.60234466197306,55.0,1387.64
16,5.0,Train,af,wed,1654323.1370455169,5.0,2.9360526315789475,0.5333333333333333,4.833333333333333,11.482405135803695,0.0,0.0,Continuous,9.361581920903955,32.808860318819,0.855756195335287,0.7323186658547259,-102.93273634606567,65.59188294118167,-6.506127469761189,102.93273634606567,102.93273634606567,25.533921193503136,190.0,847.07
17,5.0,Test,af,wed,1654323.1370455169,5.0,2.9360526315789475,0.5333333333333333,4.833333333333333,11.482405135803695,0.0,0.0,Continuous,9.361581920903955,39.027020059014745,0.842515521838519,0.7098324045388319,-121.3403594763364,74.30705276984901,-12.811065396239822,121.3403594763364,121.3403594763364,29.62196429485837,187.0,804.99
18,5.0,Validation,mo,wed,1654323.1370455169,5.0,2.9360526315789475,0.5333333333333333,4.833333333333333,11.482405135803695,0.0,0.0,Continuous,9.361581920903955,84.40267205491308,0.9486662789345851,0.899967708787592,-285.90273339114174,197.89731673495226,-16.898146722648395,285.90273339114174,285.90273339114174,60.27954471028525,41.0,847.07
19,5.0,Validation,ev,wed,1654323.1370455169,5.0,2.9360526315789475,0.5333333333333333,4.833333333333333,11.482405135803695,0.0,0.0,Continuous,9.361581920903955,100.20451208545916,0.9068434599868889,0.8223650609209922,-357.782811898491,193.2737052762925,-20.654872093747425,357.782811898491,357.782811898491,74.76544364796429,55.0,847.07
20,6.0,Train,af,wed,172941.1619907485,5.0,2.7767543859649124,1.0333333333333334,4.816666666666666,10.611270847003347,0.0,0.0,Sparse,1.6666666666666667,31.40204902889306,0.8975674455639439,0.8056273193361834,-92.72942596489784,49.721747582876276,-9.380734574684267,92.72942596489784,92.72942596489784,22.46874206385571,38.0,765.49
21,6.0,Test,af,wed,172941.1619907485,5.0,2.7767543859649124,1.0333333333333334,4.816666666666666,10.611270847003347,0.0,0.0,Sparse,1.6666666666666667,41.66088268863311,0.7991956624656229,0.6387137069038659,-105.46764514731868,168.3731684105304,-0.6783313419444292,168.3731684105304,168.3731684105304,30.375749495614198,198.0,817.77
22,6.0,Validation,mo,wed,172941.1619907485,5.0,2.7767543859649124,1.0333333333333334,4.816666666666666,10.611270847003347,0.0,0.0,Sparse,1.6666666666666667,93.69875381825727,0.9497392073181063,0.902004561917225,-241.862066705982,203.69048573931514,12.515876580972195,241.862066705982,241.862066705982,67.80048643501254,41.0,765.49
23,6.0,Validation,ev,wed,172941.1619907485,5.0,2.7767543859649124,1.0333333333333334,4.816666666666666,10.611270847003347,0.0,0.0,Sparse,1.6666666666666667,105.86747152299417,0.8939300256286901,0.7991108907205104,-332.89798229946473,244.31544522860202,8.268071313616485,332.89798229946473,332.89798229946473,75.95659180472046,55.0,765.49
24,7.0,Train,af,tue,17780385.403079182,15.0,7.3054292929292926,1.0833333333333333,14.816666666666666,10.374344720419586,0.0,0.0,Continuous,13.435028248587571,45.32802493792639,0.9819831589410389,0.9642909244438217,-133.3155395388278,87.27582623312821,-6.0478137951974755,133.3155395388278,133.3155395388278,36.026809125510646,132.0,2054.25
25,7.0,Test,af,tue,17780385.403079182,15.0,7.3054292929292926,1.0833333333333333,14.816666666666666,10.374344720419586,0.0,0.0,Continuous,13.435028248587571,54.56317301757367,0.9758796989218748,0.952341186767849,-140.53631322997762,157.76096528590983,5.827730038591221,157.76096528590983,157.76096528590983,40.70706612914838,135.0,2244.21
26,7.0,Validation,mo,tue,17780385.403079182,15.0,7.3054292929292926,1.0833333333333333,14.816666666666666,10.374344720419586,0.0,0.0,Continuous,13.435028248587571,182.01530458198468,0.8294482575392674,0.6879844119349269,-166.988593454956,485.5704722183964,93.3168441153857,485.5704722183964,485.5704722183964,140.83069918903698,51.0,2054.25
27,7.0,Validation,ev,tue,17780385.403079182,15.0,7.3054292929292926,1.0833333333333333,14.816666666666666,10.374344720419586,0.0,0.0,Continuous,13.435028248587571,95.90971864730548,0.9490122095940539,0.9006241739585884,-104.73030380198995,294.9996054316,44.860199644315905,294.9996054316,294.9996054316,74.92525499172768,59.0,2054.25
28,8.0,Train,af,tue,788797.9045698792,15.0,7.875555555555556,1.6,14.5,10.625574189459677,0.0,0.0,Sparse,1.7570621468926553,25.97895233473119,0.9958142234512681,0.9916459676278522,-63.31877365212847,25.853406896071192,-7.755341421249343,63.31877365212847,63.31877365212847,20.172830925136804,15.0,2089.21
